STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/1/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/2/1955,2,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/3/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/4/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/5/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/6/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/7/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/8/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/9/1955,3,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/10/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/11/1955,0.5,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/12/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/13/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/14/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/15/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/16/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/17/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/18/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/19/1955,1.5,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/20/1955,5.6,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/21/1955,10.8,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/22/1955,27.7,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/23/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/24/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/25/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/26/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/27/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/28/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/29/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/30/1955,16,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,1/31/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/1/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/2/1955,3.6,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/3/1955,9.3,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/4/1955,4.8,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/5/1955,14.9,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/6/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/7/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/8/1955,0,
GR000016716,"HELLINIKON, GR",37.9,23.75,10,2/9/1955,0,
